Id;Measure;WijkenEnBuurten;Value;StringValue;ValueAttribute
356;301000;WK168001;15;;None
357;300003;WK168001;30;;None
358;300005;WK168001;35;;None
359;383105;WK168001;5;;None
360;300009;WK168001;20;;None
361;300010;WK168001;30;;None
362;300012;WK168001;30;;None
363;300014;WK168001;25;;None
364;A018943_2;WK168001;910;;None
365;A019276;WK168001;665;;None
366;D001045;WK168001;245;;None
367;M000368;WK168001;1,4;;None
368;A018943_4;WK168001;51;;None
369;A018944;WK168001;125;;None
370;T001455_2;WK168001;1789;;None
371;A047044;WK168001;1784;;None
372;A047040;WK168001;5;;None
373;ST0001;WK168001;5;;None
374;ST0003;WK168001;128;;None
375;GM000C;BU16800100;;Aa en Hunze                             ;None
376;R00003;BU16800100;;Buurt     ;None
377;R00004;BU16800100;;BU16800100;None
378;M000125;BU16800100;;1;None
379;T001036;BU16800100;1270;;None
380;3000;BU16800100;650;;None
381;4000;BU16800100;620;;None
382;10680;BU16800100;185;;None
383;53050;BU16800100;150;;None
384;53310;BU16800100;265;;None
385;53715;BU16800100;400;;None
386;80200;BU16800100;270;;None
387;1010;BU16800100;575;;None
388;1020;BU16800100;540;;None
389;1080;BU16800100;90;;None
390;1050;BU16800100;65;;None
391;2012655;BU16800100;50;;None
392;2012657_2;BU16800100;15;;None
393;H008673;BU16800100;0;;None
394;H007119;BU16800100;0;;None
395;H008751;BU16800100;0;;None
396;H008766;BU16800100;0;;None
397;A008187;BU16800100;20;;None
398;1050010_2;BU16800100;550;;None
399;1050015;BU16800100;150;;None
400;1016040;BU16800100;205;;None
401;1016030;BU16800100;190;;None
402;M000114;BU16800100;2,3;;None
403;M000100;BU16800100;745;;None
404;M000297;BU16800100;547;;None
405;M001642;BU16800100;303;;None
406;ZW10290;BU16800100;97;;None
407;ZW10340;BU16800100;3;;None
408;A028725;BU16800100;97;;None
409;A028726;BU16800100;3;;None
410;1014800_1;BU16800100;83;;None
411;1014850_2;BU16800100;17;;None
412;A047047;BU16800100;13;;None
413;A047048;BU16800100;4;;None
414;A047051;BU16800100;0;;None
415;ZW25808;BU16800100;93;;None
416;ZW25807;BU16800100;7;;None
417;M000200_2;BU16800100;150;;None
418;301000;BU16800100;10;;None
419;300003;BU16800100;30;;None
420;300005;BU16800100;30;;None
421;383105;BU16800100;5;;None
422;300009;BU16800100;20;;None
423;300010;BU16800100;25;;None
424;300012;BU16800100;25;;None
425;300014;BU16800100;15;;None
426;A018943_2;BU16800100;800;;None
427;A019276;BU16800100;585;;None
428;D001045;BU16800100;215;;None
429;M000368;BU16800100;1,5;;None
430;A018943_4;BU16800100;470;;None
431;A018944;BU16800100;110;;None
432;T001455_2;BU16800100;171;;None
433;A047044;BU16800100;170;;None
434;A047040;BU16800100;1;;None
435;PC000C;BU16800100;;      9463;None
436;M000217;BU16800100;1;;None
437;ST0001;BU16800100;5;;None
438;ST0003;BU16800100;147;;None
439;GM000C;BU16800109;;Aa en Hunze                             ;None
440;R00003;BU16800109;;Buurt     ;None
441;R00004;BU16800109;;BU16800109;None
442;M000125;BU16800109;;1;None
443;T001036;BU16800109;180;;None
444;3000;BU16800109;90;;None
445;4000;BU16800109;90;;None
446;10680;BU16800109;15;;None
447;53050;BU16800109;15;;None
448;53310;BU16800109;35;;None
449;53715;BU16800109;60;;None
450;80200;BU16800109;60;;None
451;1010;BU16800109;75;;None
452;1020;BU16800109;90;;None
453;1080;BU16800109;10;;None
454;1050;BU16800109;5;;None
455;2012655;BU16800109;10;;None
456;2012657_2;BU16800109;5;;None
457;H008673;BU16800109;0;;None
458;H007119;BU16800109;0;;None
459;H008751;BU16800109;0;;None
460;H008766;BU16800109;0;;None
461;A008187;BU16800109;0;;None
462;1050010_2;BU16800109;95;;None
463;1050015;BU16800109;35;;None
464;1016040;BU16800109;40;;None
465;1016030;BU16800109;20;;None
466;M000114;BU16800109;2;;None
467;M000100;BU16800109;11;;None
468;M000297;BU16800109;51;;None
469;M001642;BU16800109;441;;None
470;ZW10290;BU16800109;96;;None
471;ZW10340;BU16800109;4;;None
472;A028725;BU16800109;94;;None
473;A028726;BU16800109;6;;None
474;1014800_1;BU16800109;94;;None
475;1014850_2;BU16800109;6;;None
476;A047047;BU16800109;0;;None
477;A047048;BU16800109;6;;None
478;A047051;BU16800109;0;;None
479;ZW25808;BU16800109;96;;None
480;ZW25807;BU16800109;4;;None
481;M000200_2;BU16800109;45;;None
482;301000;BU16800109;5;;None
483;300003;BU16800109;0;;None
484;300005;BU16800109;5;;None
485;383105;BU16800109;0;;None
486;300009;BU16800109;5;;None
487;300010;BU16800109;5;;None
488;300012;BU16800109;10;;None
489;300014;BU16800109;10;;None
490;A018943_2;BU16800109;110;;None
