name,latitude,longitude,postal_code,city,country
,50.8069708,5.7659499,6251 NE,Eckelrade,Nederland
,50.8937624,5.7466479,6231 RL,Meerssen,Nederland
,50.8938478,5.7467512,6231 RL,Meerssen,Nederland
,50.9103759,5.7371143,6241 CT,Bunde,Nederland
,50.8064434,5.7640065,6251 NN,Eckelrade,Nederland
,50.8001829,5.7331642,6247 EH,Rijckholt,Nederland
,50.8604422,5.6075987,3620,Lanaken,België / Belgique / Belgien
,50.8319219,5.7055512,6229 AV,Maastricht,Nederland
,50.7989120,5.6698744,4690,Émael,België / Belgique / Belgien
,50.7984331,5.6694728,4690,Émael,België / Belgique / Belgien
,50.7885015,5.6616485,4690,Ében,België / Belgique / Belgien
,50.8429792,5.5490285,3740,Bilzen,België / Belgique / Belgien
,50.7897198,5.6654391,4690,Ében-Émael,België / Belgique / Belgien
,50.7891867,5.6639130,4690,Ében-Émael,België / Belgique / Belgien
,50.7818626,5.6598876,4690,Ében,België / Belgique / Belgien
,50.7796573,5.6615403,4690,Ében,België / Belgique / Belgien
,50.7794654,5.6610647,4690,Ében,België / Belgique / Belgien
,50.8865237,5.6521611,3620,Lanaken,België / Belgique / Belgien
,50.8860198,5.6539498,3620,Lanaken,België / Belgique / Belgien
Vrijthof,50.8491375,5.6885857,6211 LC,Maastricht,Nederland
De Griend,50.8539078,5.6981160,6221 AK,Maastricht,Nederland
,50.8616632,5.8291099,6301 BK,Valkenburg,Nederland
,50.9000679,5.7547399,6235 NW,Ulestraten,Nederland
,50.9187556,5.7416933,6243 CC,Geulle aan de Maas,Nederland
,50.8365354,5.7152878,6229 HX,Maastricht,Nederland
,50.8362931,5.7151068,6229 HX,Maastricht,Nederland
,50.8580079,5.7265826,6225 AB,Maastricht,Nederland
,50.8616404,5.7218149,6225 AR,Maastricht,Nederland
,50.8524809,5.7138051,6224 EL,Maastricht,Nederland
,50.8714426,5.7750250,6325 PZ,Berg en Terblijt,Nederland
P18 Parking Oud-Rekem,50.9229647,5.7063389,3621,Lanaken,België / Belgique / Belgien
,50.8693424,5.7941586,6301 KA,Valkenburg,Nederland
,50.8741851,5.7826964,6301 KL,Valkenburg,Nederland
,50.8560047,5.8251291,6301 BJ,Valkenburg,Nederland
,50.7946461,5.7000058,6245 SB,Eijsden,Nederland
,50.7962824,5.7084802,6245 LB,Eijsden,Nederland
,50.8286899,5.6749228,6212 NK,Maastricht,Nederland
P+R Bunde,50.8976387,5.7360423,6241 CL,Bunde,Nederland
,50.8460945,5.7402507,6226 WL,Maastricht,Nederland
Gansbaan,50.8822215,5.7563586,6231 LN,Rothem,Nederland
Roserije,50.8273855,5.7260000,6228 DH,Maastricht,Nederland
,50.8347813,5.7328059,6228 SH,Maastricht,Nederland
,50.8346171,5.7337440,6228 SH,Maastricht,Nederland
,50.8731576,5.5589963,3746,Bilzen,België / Belgique / Belgien
