charger_longitude;charger_latitude;Rating;atm;bakery;bar;bicycle_parking;books;cafe;clothes;doctors;fast_food;hairdresser;parking;pharmacy;playground;pub;restaurant;school;sports_centre;supermarket
6.57212199999999;53.026018;2;0;0;0;5;0;0;0;0;1;0;19;0;4;0;2;0;0;0
6.574909;53.218854;5;8;9;45;56;12;76;155;14;58;61;13;5;17;48;166;3;3;12
6.580143;53.0136608;4;1;0;0;18;0;1;0;2;0;1;52;1;11;1;2;0;2;0
6.580945;53.017544;5;1;0;0;16;0;0;0;2;0;1;39;1;16;1;2;0;2;0
6.581646;52.985117;5;1;0;0;0;0;0;1;0;1;0;57;1;1;0;1;2;0;2
6.587375;51.9980612;5;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0
6.599434;52.4088442;5;0;0;0;0;1;0;0;0;0;0;1;0;2;0;1;2;0;1
6.6128082;52.13448;1;2;1;0;0;0;0;3;0;2;2;11;2;0;3;7;9;2;3
6.6130406;52.041301;5;1;0;0;1;1;0;2;0;2;1;0;0;0;2;9;1;0;3
6.614368;53.221396;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0
6.615296;53.225322;5;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;2
6.615359;53.2138565;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
6.61941099999999;53.231696;5;2;1;0;3;1;0;3;1;3;2;0;1;9;1;2;3;0;4
6.6215012;52.4150638;5;3;2;0;0;2;0;5;2;2;1;3;1;1;1;1;1;2;5
6.6242695;53.2384865;4;2;1;0;1;1;0;3;1;3;2;0;1;13;1;2;0;0;4
6.6262553;51.9437899;5;0;0;0;0;0;1;0;0;0;0;2;0;0;0;1;0;0;1
6.63021609999999;52.1295025;5;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;4;0;0
6.6386069;52.197473;4;1;1;0;1;0;0;2;0;1;0;0;0;0;0;3;0;0;2
6.6513769;53.222572;5;0;0;0;3;0;0;0;1;0;0;0;0;7;0;1;1;0;0
6.6534891;52.3323380999999;1;0;0;0;1;0;0;0;0;0;0;1;0;10;0;1;2;1;1
